NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
28;15;JAMBI;1501;150108;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6783;2022
29;15;JAMBI;1501;150109;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;10467;2022
30;15;JAMBI;1501;150109;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;10001;2022
31;15;JAMBI;1501;150109;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;10624;2022
32;15;JAMBI;1501;150109;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;10189;2022
33;15;JAMBI;1501;150111;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;10090;2022
34;15;JAMBI;1501;150111;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;10191;2022
35;15;JAMBI;1501;150111;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;10253;2022
36;15;JAMBI;1501;150111;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;10355;2022
37;15;JAMBI;1501;150115;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;7896;2022
38;15;JAMBI;1501;150115;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;7668;2022
39;15;JAMBI;1501;150115;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;8068;2022
40;15;JAMBI;1501;150115;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;7787;2022
41;15;JAMBI;1501;150116;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;11505;2022
42;15;JAMBI;1501;150116;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;11578;2022
43;15;JAMBI;1501;150116;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;11693;2022
44;15;JAMBI;1501;150116;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;11767;2022
45;15;JAMBI;1501;150117;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;8299;2022
46;15;JAMBI;1501;150117;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;8781;2022
47;15;JAMBI;1501;150117;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;8429;2022
48;15;JAMBI;1501;150117;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;8944;2022
49;15;JAMBI;1501;150118;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;5956;2022
50;15;JAMBI;1501;150118;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;5736;2022
51;15;JAMBI;1501;150118;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;5979;2022
52;15;JAMBI;1501;150118;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;5797;2022
53;15;JAMBI;1501;150119;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;10766;2022
54;15;JAMBI;1501;150119;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;10587;2022
55;15;JAMBI;1501;150119;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;11021;2022
56;15;JAMBI;1501;150119;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;10843;2022
57;15;JAMBI;1501;150120;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6716;2022
58;15;JAMBI;1501;150120;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6730;2022
59;15;JAMBI;1501;150120;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;6839;2022
60;15;JAMBI;1501;150120;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6828;2022
61;15;JAMBI;1501;150121;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;4929;2022
62;15;JAMBI;1501;150121;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;5131;2022
63;15;JAMBI;1501;150121;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;5326;2022
64;15;JAMBI;1501;150121;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;5520;2022
65;15;JAMBI;1501;150122;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;4650;2022
66;15;JAMBI;1501;150122;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;4698;2022
67;15;JAMBI;1501;150122;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;4731;2022
68;15;JAMBI;1501;150122;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;4775;2022
69;15;JAMBI;1501;150123;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6045;2022
70;15;JAMBI;1501;150123;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6367;2022
71;15;JAMBI;1501;150123;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;6135;2022
72;15;JAMBI;1501;150123;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6436;2022
73;15;JAMBI;1502;150201;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;5350;2022
74;15;JAMBI;1502;150201;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;5119;2022
75;15;JAMBI;1502;150201;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;5488;2022
76;15;JAMBI;1502;150201;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;5245;2022
77;15;JAMBI;1502;150202;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;25302;2022
78;15;JAMBI;1502;150202;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;24660;2022
79;15;JAMBI;1502;150202;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;25481;2022
80;15;JAMBI;1502;150202;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;24863;2022
