no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;Day of tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
91;15;JAMBI;1571;KOTA JAMBI;SUBUR BANGKIT JAYA;3101230025012;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Komplek Teluk Permai, Nomor 53
92;15;JAMBI;1571;KOTA JAMBI;GRACINDO JAYA MULIA;3101230037737;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Ar. Saleh, Perum Liverpool F, No: 4
93;15;JAMBI;1571;KOTA JAMBI;VISHAKA RAKHA MANDIRI;3101230048638;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Perumahan Gunung Manahan City V, Nomor D6
94;15;JAMBI;1571;KOTA JAMBI;PERDANA NUSANTARA JAMBI;3101230065942;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Ko Perum Parma Residence No.15, Rt .024, The Hok, Jambi Selatan, Kota Jambi
95;15;JAMBI;1571;KOTA JAMBI;SUGA AGUS KOMPUTER;3101230067303;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Jenderal A Thalib
96;15;JAMBI;1571;KOTA JAMBI;GRAND PROSPERINDO ANUGRAH;3101230068754;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Ar. Saleh Perum. Liverpool F No. 4
97;15;JAMBI;1571;KOTA JAMBI;TEGUH MAKMUR MANDIRI;3101230079914;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl.Ar.Saleh, Perum Liverpool F No. 4,   Kel. Paal Merah, Kec. Jambi Selatan
98;15;JAMBI;1571;KOTA JAMBI;MULIA MAKMUR JAYA;3101230080518;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Ar. Saleh Perum. Liverpool F No. 4
99;15;JAMBI;1571;KOTA JAMBI;BERKAT UTAMA MANDIRI;3101230081205;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Ar. Saleh Perum Liverpool F No. 4
100;15;JAMBI;1571;KOTA JAMBI;ASKARI UTAMA SEJAHTERA;0102230010033;02/01/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Lingkar Barat
101;15;JAMBI;1571;KOTA JAMBI;KARYA GRAHA JAYA SENTOSA;0102230044235;02/01/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Letkol Yunus Sanis No. A-12
102;15;JAMBI;1571;KOTA JAMBI;MAJU JAYA BERSAMA;0102230055972;02/01/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Raden Fatah
103;15;JAMBI;1571;KOTA JAMBI;SIDDHA KARYA;0102230066489;02/01/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Makalam Nomor : 63
104;15;JAMBI;1506;TANJUNG JABUNG BARAT;MOWRA INDAH;0202230003826;02/02/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Beringin
105;15;JAMBI;1506;TANJUNG JABUNG BARAT;SUMBER AMANAH KELUARGA;0202230025823;02/02/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. H. M. Nur Nurdin
106;15;JAMBI;1571;KOTA JAMBI;TRITUNGGAL CAHAYA MANDIRI;0202230029726;02/02/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Lingkar Barat Iii
107;15;JAMBI;1571;KOTA JAMBI;PESONA ELANG;0202230041854;02/02/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Sultan Hasanuddin 
108;15;JAMBI;1571;KOTA JAMBI;JETRO HARAZAKI FUTURE;0202230047333;02/02/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Perum. Grand Namura Indah B.14
109;15;JAMBI;1571;KOTA JAMBI;FIDYRY MAKMUR JAYA;0202230062598;02/02/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Abdul Muis
110;15;JAMBI;1571;KOTA JAMBI;INCESS EKA;0302230009962;02/03/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Sersan Zuraida Gg. Buntu Ruko A No. 20
111;15;JAMBI;1509;TEBO;MEDIA SEPTIA MANDIRI;0302230022584;02/03/2023;PMDN;Non UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Teluk Kuali
112;15;JAMBI;1571;KOTA JAMBI;ANUGERAH ROYAL MAHKOTA;0302230051924;02/03/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan H.M.O Bafadhal Nomor : 11
113;15;JAMBI;1571;KOTA JAMBI;MUGHNII;0502230017647;02/05/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan H. Samsoe Bahrun
114;15;JAMBI;1506;TANJUNG JABUNG BARAT;ABC KARYA GROUP;0602230014724;02/06/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Manunggal Ii
115;15;JAMBI;1509;TEBO;DUTA KARYA ABADI TEBO;0602230020469;02/06/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Jujuhan
116;15;JAMBI;1507;TANJUNG JABUNG TIMUR;ABDIL JAYA;0602230024589;02/06/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Dusun Jaya Indah
117;15;JAMBI;1571;KOTA JAMBI;RADJO BETUAH JAMBI;0702230002628;02/07/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Nusa Indah I No. 17
118;15;JAMBI;1503;SAROLANGUN;RIMBO BULIAN RAYA;0702230027981;02/07/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Desa Gurun Tuo Simpang
119;15;JAMBI;1571;KOTA JAMBI;DIANA ALFRIYANDO;0702230059624;02/07/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Komplek Btn Karya Indah Blok G 02
