kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. HOS COKRO AMINOTO;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JL. R. SIAGIAN;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;BAIK;30,16;KILOMETER;2023
15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;BAIK;0;KILOMETER;2023
15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;BAIK;2;KILOMETER;2023
15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;BAIK;15,4;KILOMETER;2023
15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;BAIK;18,4;KILOMETER;2023
15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;BAIK;18,4;KILOMETER;2023
15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;BAIK;17;KILOMETER;2023
15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;BAIK;6,6;KILOMETER;2023
15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;BAIK;8,6;KILOMETER;2023
