id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
;15;JAMBI;1507;KOPI LIBERIKA;2697;KEPALA KELUARGA;2024
;15;JAMBI;1508;KARET;47123;KEPALA KELUARGA;2024
;15;JAMBI;1508;KELAPA SAWIT;26386;KEPALA KELUARGA;2024
;15;JAMBI;1508;KELAPA DALAM;13518;KEPALA KELUARGA;2024
;15;JAMBI;1508;KOPI ROBUSTA;694;KEPALA KELUARGA;2024
;15;JAMBI;1508;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1508;CASSIAVERA;119;KEPALA KELUARGA;2024
;15;JAMBI;1508;KAKAO;170;KEPALA KELUARGA;2024
;15;JAMBI;1508;PINANG;2550;KEPALA KELUARGA;2024
;15;JAMBI;1508;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1509;KARET;52858;KEPALA KELUARGA;2024
;15;JAMBI;1509;KELAPA SAWIT;22653;KEPALA KELUARGA;2024
;15;JAMBI;1509;KELAPA DALAM;1336;KEPALA KELUARGA;2024
;15;JAMBI;1509;KOPI ROBUSTA;223;KEPALA KELUARGA;2024
;15;JAMBI;1509;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1509;CASSIAVERA;0;KEPALA KELUARGA;2024
;15;JAMBI;1509;KAKAO;153;KEPALA KELUARGA;2024
;15;JAMBI;1509;PINANG;384;KEPALA KELUARGA;2024
;15;JAMBI;1509;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;KARET;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;KELAPA SAWIT;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;KELAPA DALAM;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;KOPI ROBUSTA;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;KOPI ARABIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;CASSIAVERA;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;KAKAO;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;PINANG;0;KEPALA KELUARGA;2024
;15;JAMBI;1571;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
;15;JAMBI;1572;KARET;0;KEPALA KELUARGA;2024
;15;JAMBI;1572;KELAPA SAWIT;0;KEPALA KELUARGA;2024
;15;JAMBI;1572;KELAPA DALAM;22;KEPALA KELUARGA;2024
;15;JAMBI;1572;KOPI ROBUSTA;824;KEPALA KELUARGA;2024
;15;JAMBI;1572;KOPI ARABIKA;1710;KEPALA KELUARGA;2024
;15;JAMBI;1572;CASSIAVERA;462;KEPALA KELUARGA;2024
;15;JAMBI;1572;KAKAO;193;KEPALA KELUARGA;2024
;15;JAMBI;1572;PINANG;179;KEPALA KELUARGA;2024
;15;JAMBI;1572;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
