id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian
145;;JAMBI;;;05/01/2022;JALAN;KM;0
146;;JAMBI;;;05/01/2022;IRIGASI;HA;0
147;;JAMBI;;;05/01/2022;KEBUN;HEKTAR;0
148;;JAMBI;;;05/01/2022;KOLAM;HA;0
149;;JAMBI;;;05/01/2022;SAWAH;HA;0
150;;JAMBI;;;05/01/2022;LAHAN TIDUR;HEKTAR;0
151;;JAMBI;;;22/01/2022;MENINGGAL DUNIA;JIWA;0
152;;JAMBI;;;22/01/2022;LUKA BERAT;JIWA;0
153;;JAMBI;;;22/01/2022;LUKA RINGAN;JIWA;0
154;;JAMBI;;;22/01/2022;RUSAK TOTAL;UNIT;0
155;;JAMBI;;;22/01/2022;RUMAH RUSAK BERAT;UNIT;0
156;;JAMBI;;;22/01/2022;RUMAH RUSAK RINGAN;UNIT;0
157;;JAMBI;;;22/01/2022;TERGENANG;UNIT;0
158;;JAMBI;;;22/01/2022;TERENDAM;UNIT;0
159;;JAMBI;;;22/01/2022;KIOS;UNIT;0
160;;JAMBI;;;22/01/2022;BANGUNAN LAIN;UNIT;0
161;;JAMBI;;;22/01/2022;KEPALA KELUARGA;JIWA;0
162;;JAMBI;;;22/01/2022;JIWA;JIWA;0
163;;JAMBI;;;22/01/2022;SEKOLAH;UNIT;0
164;;JAMBI;;;22/01/2022;KANTOR;UNIT;0
165;;JAMBI;;;22/01/2022;TEMPAT IBADAH;JIWA;0
166;;JAMBI;;;22/01/2022;SARANA KESEHATAN;UNIT;0
167;;JAMBI;;;22/01/2022;PASAR;UNIT;0
168;;JAMBI;;;22/01/2022;JEMBATAN;UNIT;0
169;;JAMBI;;;22/01/2022;JALAN;TITIK;1
170;;JAMBI;;;22/01/2022;JALAN;KM;10
171;;JAMBI;;;22/01/2022;IRIGASI;HA;0
172;;JAMBI;;;22/01/2022;KEBUN;HEKTAR;0
173;;JAMBI;;;22/01/2022;KOLAM;HA;0
174;;JAMBI;;;22/01/2022;SAWAH;HA;0
175;;JAMBI;;;22/01/2022;LAHAN TIDUR;HEKTAR;0
176;;JAMBI;;;31/03/2022;MENINGGAL DUNIA;JIWA;0
177;;JAMBI;;;31/03/2022;LUKA BERAT;JIWA;0
178;;JAMBI;;;31/03/2022;LUKA RINGAN;JIWA;0
179;;JAMBI;;;31/03/2022;RUSAK TOTAL;UNIT;0
180;;JAMBI;;;31/03/2022;RUMAH RUSAK BERAT;UNIT;0
181;;JAMBI;;;31/03/2022;RUMAH RUSAK RINGAN;UNIT;1
182;;JAMBI;;;31/03/2022;TERGENANG;UNIT;0
183;;JAMBI;;;31/03/2022;TERENDAM;UNIT;0
184;;JAMBI;;;31/03/2022;KIOS;UNIT;0
