id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_puskesmas;nama_puskesmas;alamat;kemampuan_pelayanan;karakteristik_wilayah_kerja
112;15;JAMBI;1507;150701;1011478;LAMBUR;JL. BERINGIN NO. 04, KEC. MUARA SABAK TIMUR;RAWAT INAP;TERPENCIL
113;15;JAMBI;1507;150701;1011479;SIMBUR NAIK;JL. SUNGAI SIALANG, KEC. MUARA SABAK TIMUR;NON RAWAT INAP;TERPENCIL
114;15;JAMBI;1507;150708;1011481;KAMPUNG LAUT;JL. LAGAN NO. 222, KEC. KUALA JAMBI;RAWAT INAP;PERDESAAN
115;15;JAMBI;1507;150704;1011482;RANTAU RASAU;JL. JEND. SUDIRMAN NO. 5, KEC. RANTAU RASAU;RAWAT INAP;TERPENCIL
116;15;JAMBI;1507;150711;1011483;SIMPANG BERBAK;DS. SIMPANG, KEC. BERBAK;RAWAT INAP;TERPENCIL
117;15;JAMBI;1507;150702;1011484;NIPAH PANJANG;JL. FLAMBOYAN NO.06, KEC. NIPAH PANJANG;RAWAT INAP;TERPENCIL
118;15;JAMBI;1507;150702;1011485;SUNGAI TERING;JL. LINTAS SUNGAI TERING, KEC. NIPAH PANJANG;NON RAWAT INAP;TERPENCIL
119;15;JAMBI;1507;150705;1011486;SUNGAI LOKAN;DS. SUNGAI LOKAN, KEC. SADU;NON RAWAT INAP;SANGAT TERPENCIL
120;15;JAMBI;1507;150705;1011487;SUNGAI JAMBAT;DS. SUNGAI JAMBAT, KEC. SADU;NON RAWAT INAP;SANGAT TERPENCIL
121;15;JAMBI;1507;150705;1011488;AIR HITAM LAUT;JL. H.M. ARSYAD AIR HITAM LAUT, KEC. SADU;RAWAT INAP;SANGAT TERPENCIL
122;15;JAMBI;1506;150601;1011489;PELABUHAN DAGANG;KEL. PELABUHAN DAGANG, KEC. TUNGKAL ULU;NON RAWAT INAP;PERDESAAN
123;15;JAMBI;1506;150605;1011490;MERLUNG;KEL. MERLUNG, KEC. MERLUNG;RAWAT INAP;PERDESAAN
124;15;JAMBI;1506;150607;1011491;SUBAN;KEL. DUSUN KEBON, KEC. BATANG ASAM;RAWAT INAP;PERDESAAN
125;15;JAMBI;1506;150606;1011492;PIJOAN BARU;KEL. TEBING TINGGI, KEC. TEBING TINGGI;RAWAT INAP;PERDESAAN
126;15;JAMBI;1506;150606;1011493;PURWODADI;DS. PURWODADI, KEC. TEBING TINGGI;RAWAT INAP;PERDESAAN
127;15;JAMBI;1506;150608;1011494;LUBUK KAMBING;KEL. LUBUK KAMBING, KEC. RENAH MENDALUH;NON RAWAT INAP;TERPENCIL
128;15;JAMBI;1506;150609;1011495;BUKIT INDAH;DS. BUKIT INDAH, KEC. MUARA PAPALIK;NON RAWAT INAP;TERPENCIL
129;15;JAMBI;1506;150609;1011496;RANTAU BADAK;KEL. RANTAU BADAK, KEC. MUARA PAPALIK;NON RAWAT INAP;PERDESAAN
130;15;JAMBI;1506;150603;1011497;TELUK NILAU;KEL. TELUK NILAU, KEC. PENGABUAN;RAWAT INAP;TERPENCIL
131;15;JAMBI;1506;150613;1011498;SENYERANG;KEL. SENYERANG, KEC. SENYERANG;NON RAWAT INAP;TERPENCIL
132;15;JAMBI;1506;150602;1011499;KUALA TUNGKAL I;JL. PELABUHAN NO. 12 TUNGKAL I, KEC. TUNGKAL ILIR;NON RAWAT INAP;PERKOTAAN
133;15;JAMBI;1506;150602;1011500;KUALA TUNGKAL II;JL. DR. SRI SUDEWI MS.SH, KEC. TUNGKAL ILIR;NON RAWAT INAP;PERKOTAAN
134;15;JAMBI;1506;150611;1011501;SUNGAI SAREN;KEL. BRAM ITAM KIRI, KEC. BRAM ITAM;NON RAWAT INAP;PERDESAAN
135;15;JAMBI;1506;150610;1011502;TUNGKAL V;KEL. TUNGKAL V, KEC. SEBERANG KOTA;NON RAWAT INAP;TERPENCIL
136;15;JAMBI;1506;150604;1011503;SUKOREJO;KEL. MEKAR JAYA, KEC. BETARA;NON RAWAT INAP;PERDESAAN
137;15;JAMBI;1506;150612;1011504;PARIT DELI;KEL. BETARA KIRI, KEC. KUALA BETARA;NON RAWAT INAP;TERPENCIL
138;15;JAMBI;1509;150902;1011505;SUNGAI BENGKAL;JL. LINTAS JAMBI - TEBO KELURAHAN SUNGAI BENGKAL, KEC. TEBO ILIR;RAWAT INAP;PERDESAAN
139;15;JAMBI;1509;150902;1012504;TELUK RENDAH;JL.LINTAS JAMBI-MUARA BUNGO KM 140;NON RAWAT INAP;PERDESAAN
140;15;JAMBI;1509;150912;1011506;PINTAS TUO;DS. PINTAS TUO, KEC. MUARA TABIR;RAWAT INAP;TERPENCIL
141;15;JAMBI;1509;150912;1012649;BANGUN SERANTEN;JL. BENGAWAN SOLO DESA BANGUN SERANTEN KEC. MUARA TABIR;NON RAWAT INAP;TERPENCIL
142;15;JAMBI;1509;150901;1011507;MUARA TEBO;JL. BATANGHARI KM 1 MUARA TEBO, KEC. TEBO TENGAH;NON RAWAT INAP;PERKOTAAN
143;15;JAMBI;1509;150905;1011508;TELUK SINGKAWANG;JL. PADANG LAMO DS. TELUK SINGKAWANG, KEC. SUMAY;NON RAWAT INAP;PERDESAAN
144;15;JAMBI;1509;150905;1012657;SUO-SUO;JL. AMD DESA SUO-SUO, KEC. SUMAY;NON RAWAT INAP;TERPENCIL
145;15;JAMBI;1509;150909;1011509;MENGUPEH;JL. LINTAS TEBO-JAMBI KM. 35, KEC. TENGAH ILIR;RAWAT INAP;PERDESAAN
146;15;JAMBI;1509;150909;1011510;LUBUK MADRASAH;DS.LUBUK MADRASAH, KEC. TENGAH ILIR;NON RAWAT INAP;TERPENCIL
