NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
205;15;JAMBI;1502;150223;PEREKAMAN KTP;REKAM KTP;JIWA;2;6844;2022
206;15;JAMBI;1502;150224;PEREKAMAN KTP;WAJIB KTP;JIWA;1;3606;2022
207;15;JAMBI;1502;150224;PEREKAMAN KTP;REKAM KTP;JIWA;1;3564;2022
208;15;JAMBI;1502;150224;PEREKAMAN KTP;BELUM REKAM;JIWA;1;42;2022
209;15;JAMBI;1502;150224;PEREKAMAN KTP;WAJIB KTP;JIWA;2;3705;2022
210;15;JAMBI;1502;150224;PEREKAMAN KTP;REKAM KTP;JIWA;2;3618;2022
211;15;JAMBI;1503;150301;PEREKAMAN KTP;WAJIB KTP;JIWA;1;12858;2022
212;15;JAMBI;1503;150301;PEREKAMAN KTP;REKAM KTP;JIWA;1;12661;2022
213;15;JAMBI;1503;150301;PEREKAMAN KTP;BELUM REKAM;JIWA;1;197;2022
214;15;JAMBI;1503;150301;PEREKAMAN KTP;WAJIB KTP;JIWA;2;13816;2022
215;15;JAMBI;1503;150301;PEREKAMAN KTP;REKAM KTP;JIWA;2;13294;2022
216;15;JAMBI;1503;150302;PEREKAMAN KTP;WAJIB KTP;JIWA;1;12442;2022
217;15;JAMBI;1503;150302;PEREKAMAN KTP;REKAM KTP;JIWA;1;12260;2022
218;15;JAMBI;1503;150302;PEREKAMAN KTP;BELUM REKAM;JIWA;1;182;2022
219;15;JAMBI;1503;150302;PEREKAMAN KTP;WAJIB KTP;JIWA;2;13188;2022
220;15;JAMBI;1503;150302;PEREKAMAN KTP;REKAM KTP;JIWA;2;12752;2022
221;15;JAMBI;1503;150303;PEREKAMAN KTP;WAJIB KTP;JIWA;1;38911;2022
222;15;JAMBI;1503;150303;PEREKAMAN KTP;REKAM KTP;JIWA;1;38474;2022
223;15;JAMBI;1503;150303;PEREKAMAN KTP;BELUM REKAM;JIWA;1;437;2022
224;15;JAMBI;1503;150303;PEREKAMAN KTP;WAJIB KTP;JIWA;2;40443;2022
225;15;JAMBI;1503;150303;PEREKAMAN KTP;REKAM KTP;JIWA;2;39228;2022
226;15;JAMBI;1503;150304;PEREKAMAN KTP;WAJIB KTP;JIWA;1;16614;2022
227;15;JAMBI;1503;150304;PEREKAMAN KTP;REKAM KTP;JIWA;1;16392;2022
228;15;JAMBI;1503;150304;PEREKAMAN KTP;BELUM REKAM;JIWA;1;222;2022
229;15;JAMBI;1503;150304;PEREKAMAN KTP;WAJIB KTP;JIWA;2;17738;2022
230;15;JAMBI;1503;150304;PEREKAMAN KTP;REKAM KTP;JIWA;2;17156;2022
231;15;JAMBI;1503;150305;PEREKAMAN KTP;WAJIB KTP;JIWA;1;23941;2022
232;15;JAMBI;1503;150305;PEREKAMAN KTP;REKAM KTP;JIWA;1;23660;2022
233;15;JAMBI;1503;150305;PEREKAMAN KTP;BELUM REKAM;JIWA;1;281;2022
234;15;JAMBI;1503;150305;PEREKAMAN KTP;WAJIB KTP;JIWA;2;25056;2022
235;15;JAMBI;1503;150305;PEREKAMAN KTP;REKAM KTP;JIWA;2;24251;2022
236;15;JAMBI;1503;150306;PEREKAMAN KTP;WAJIB KTP;JIWA;1;16284;2022
237;15;JAMBI;1503;150306;PEREKAMAN KTP;REKAM KTP;JIWA;1;16076;2022
238;15;JAMBI;1503;150306;PEREKAMAN KTP;BELUM REKAM;JIWA;1;208;2022
