id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah_penduduk,tahun
1165,15,JAMBI,1508,BUNGO,150816,JUJUHAN ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,628,2022
1166,15,JAMBI,1508,BUNGO,150807,LIMBUR LUBUK MENGKUANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1345,2022
1167,15,JAMBI,1508,BUNGO,150808,MUKO-MUKO BATHIN VII,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1162,2022
1168,15,JAMBI,1508,BUNGO,150803,PASAR MUARO BUNGO,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1824,2022
1169,15,JAMBI,1508,BUNGO,150806,PELEPAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1936,2022
1170,15,JAMBI,1508,BUNGO,150809,PELEPAT ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,7958,2022
1171,15,JAMBI,1508,BUNGO,150802,RANTAU PANDAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,739,2022
1172,15,JAMBI,1508,BUNGO,150813,RIMBO TENGAH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3860,2022
1173,15,JAMBI,1508,BUNGO,150805,TANAH SEPENGGAL,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,945,2022
1174,15,JAMBI,1508,BUNGO,150817,TANAH SEPENGGAL LINTAS,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1360,2022
1175,15,JAMBI,1508,BUNGO,150801,TANAH TUMBUH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,977,2022
1176,15,JAMBI,1501,KERINCI,150105,AIR HANGAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1189,2022
1177,15,JAMBI,1501,KERINCI,150121,AIR HANGAT BARAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1242,2022
1178,15,JAMBI,1501,KERINCI,150111,AIR HANGAT TIMUR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1818,2022
1179,15,JAMBI,1501,KERINCI,150107,BATANG MERANGIN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1126,2022
1180,15,JAMBI,1501,KERINCI,150120,BUKITKERMAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1224,2022
1181,15,JAMBI,1501,KERINCI,150102,DANAU KERINCI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1224,2022
1182,15,JAMBI,1501,KERINCI,150123,DANAU KERINCI BARAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,965,2022
1183,15,JAMBI,1501,KERINCI,150117,DEPATI TUJUH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1695,2022
1184,15,JAMBI,1501,KERINCI,150106,GUNUNG KERINCI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1108,2022
1185,15,JAMBI,1501,KERINCI,150101,GUNUNG RAYA,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,789,2022
1186,15,JAMBI,1501,KERINCI,150115,GUNUNG TUJUH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2002,2022
1187,15,JAMBI,1501,KERINCI,150109,KAYU ARO,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1840,2022
1188,15,JAMBI,1501,KERINCI,150119,KAYU ARO BARAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2590,2022
1189,15,JAMBI,1501,KERINCI,150108,KELILING DANAU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,808,2022
1190,15,JAMBI,1501,KERINCI,150104,SITINJAU LAUT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,882,2022
1191,15,JAMBI,1501,KERINCI,150116,SIULAK,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2887,2022
1192,15,JAMBI,1501,KERINCI,150118,SIULAK MUKAI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1743,2022
1193,15,JAMBI,1501,KERINCI,150122,TANAH COGOK,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,668,2022
1194,15,JAMBI,1571,KOTA JAMBI,157109,ALAM BARAJO,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,14131,2022
1195,15,JAMBI,1571,KOTA JAMBI,157110,DANAU SIPIN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,5678,2022
1196,15,JAMBI,1571,KOTA JAMBI,157106,DANAU TELUK,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1282,2022
1197,15,JAMBI,1571,KOTA JAMBI,157102,JAMBI SELATAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,6666,2022
1198,15,JAMBI,1571,KOTA JAMBI,157103,JAMBI TIMUR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,8578,2022
1199,15,JAMBI,1571,KOTA JAMBI,157108,JELUTUNG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,7112,2022
1200,15,JAMBI,1571,KOTA JAMBI,157107,KOTA BARU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,11740,2022
1201,15,JAMBI,1571,KOTA JAMBI,157111,PAAL MERAH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,13006,2022
1202,15,JAMBI,1571,KOTA JAMBI,157104,PASAR JAMBI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1342,2022
1203,15,JAMBI,1571,KOTA JAMBI,157105,PELAYANGAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1564,2022
1204,15,JAMBI,1571,KOTA JAMBI,157101,TELANAIPURA,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,6367,2022
1205,15,JAMBI,1572,KOTA SUNGAI PENUH,157203,HAMPARAN RAWANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,979,2022
1206,15,JAMBI,1572,KOTA SUNGAI PENUH,157207,KOTO BARU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,545,2022
1207,15,JAMBI,1572,KOTA SUNGAI PENUH,157205,KUMUN DEBAI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,753,2022
1208,15,JAMBI,1572,KOTA SUNGAI PENUH,157202,PESISIR BUKIT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1025,2022
1209,15,JAMBI,1572,KOTA SUNGAI PENUH,157206,PONDOK TINGGI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1525,2022
1210,15,JAMBI,1572,KOTA SUNGAI PENUH,157208,SUNGAI BUNGKAL,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,922,2022
1211,15,JAMBI,1572,KOTA SUNGAI PENUH,157201,SUNGAI PENUH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,783,2022
1212,15,JAMBI,1572,KOTA SUNGAI PENUH,157204,TANAH KAMPUNG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,568,2022
