id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
788,15,JAMBI,1502,MERANGIN,150203,MUARA SIAU,AKTA LAHIR,MEMILIKI,JIWA,1,3116,2022
789,15,JAMBI,1502,MERANGIN,150211,NALO TATAN,AKTA LAHIR,MEMILIKI,JIWA,1,6194,2022
790,15,JAMBI,1502,MERANGIN,150206,PAMENANG,AKTA LAHIR,MEMILIKI,JIWA,1,10026,2022
791,15,JAMBI,1502,MERANGIN,150213,PAMENANG BARAT,AKTA LAHIR,MEMILIKI,JIWA,1,5005,2022
792,15,JAMBI,1502,MERANGIN,150220,PAMENANG SELATAN,AKTA LAHIR,MEMILIKI,JIWA,1,3181,2022
793,15,JAMBI,1502,MERANGIN,150217,PANGKALAN JAMBU,AKTA LAHIR,MEMILIKI,JIWA,1,1952,2022
794,15,JAMBI,1502,MERANGIN,150219,RENAH PAMENANG,AKTA LAHIR,MEMILIKI,JIWA,1,4047,2022
795,15,JAMBI,1502,MERANGIN,150216,RENAH PEMBARAP,AKTA LAHIR,MEMILIKI,JIWA,1,4157,2022
796,15,JAMBI,1502,MERANGIN,150204,SUNGAI MANAU,AKTA LAHIR,MEMILIKI,JIWA,1,3412,2022
797,15,JAMBI,1502,MERANGIN,150205,TABIR,AKTA LAHIR,MEMILIKI,JIWA,1,9641,2022
798,15,JAMBI,1502,MERANGIN,150223,TABIR BARAT,AKTA LAHIR,MEMILIKI,JIWA,1,2847,2022
799,15,JAMBI,1502,MERANGIN,150214,TABIR ILIR,AKTA LAHIR,MEMILIKI,JIWA,1,2716,2022
800,15,JAMBI,1502,MERANGIN,150222,TABIR LINTAS,AKTA LAHIR,MEMILIKI,JIWA,1,2306,2022
801,15,JAMBI,1502,MERANGIN,150208,TABIR SELATAN,AKTA LAHIR,MEMILIKI,JIWA,1,8658,2022
802,15,JAMBI,1502,MERANGIN,150215,TABIR TIMUR,AKTA LAHIR,MEMILIKI,JIWA,1,2337,2022
803,15,JAMBI,1502,MERANGIN,150207,TABIR ULU,AKTA LAHIR,MEMILIKI,JIWA,1,2361,2022
804,15,JAMBI,1502,MERANGIN,150224,TIANG PUMPUNG,AKTA LAHIR,MEMILIKI,JIWA,1,1236,2022
805,15,JAMBI,1505,MUARO JAMBI,150510,BAHAR SELATAN,AKTA LAHIR,MEMILIKI,JIWA,1,4997,2022
806,15,JAMBI,1505,MUARO JAMBI,150509,BAHAR UTARA,AKTA LAHIR,MEMILIKI,JIWA,1,3783,2022
807,15,JAMBI,1505,MUARO JAMBI,150501,JAMBI LUAR KOTA,AKTA LAHIR,MEMILIKI,JIWA,1,19375,2022
808,15,JAMBI,1505,MUARO JAMBI,150503,KUMPEH,AKTA LAHIR,MEMILIKI,JIWA,1,6467,2022
809,15,JAMBI,1505,MUARO JAMBI,150506,KUMPEH ULU,AKTA LAHIR,MEMILIKI,JIWA,1,16375,2022
810,15,JAMBI,1505,MUARO JAMBI,150504,MARO SEBO,AKTA LAHIR,MEMILIKI,JIWA,1,5986,2022
811,15,JAMBI,1505,MUARO JAMBI,150505,MESTONG,AKTA LAHIR,MEMILIKI,JIWA,1,10435,2022
812,15,JAMBI,1505,MUARO JAMBI,150502,SEKERNAN,AKTA LAHIR,MEMILIKI,JIWA,1,13779,2022
813,15,JAMBI,1505,MUARO JAMBI,150507,SUNGAI BAHAR,AKTA LAHIR,MEMILIKI,JIWA,1,8332,2022
814,15,JAMBI,1505,MUARO JAMBI,150508,SUNGAI GELAM,AKTA LAHIR,MEMILIKI,JIWA,1,19015,2022
815,15,JAMBI,1505,MUARO JAMBI,150511,TAMAN RAJO,AKTA LAHIR,MEMILIKI,JIWA,1,3952,2022
816,15,JAMBI,1503,SAROLANGUN,150307,AIR HITAM,AKTA LAHIR,MEMILIKI,JIWA,1,7252,2022
817,15,JAMBI,1503,SAROLANGUN,150301,BATANG ASAI,AKTA LAHIR,MEMILIKI,JIWA,1,5945,2022
818,15,JAMBI,1503,SAROLANGUN,150308,BATHIN VIII,AKTA LAHIR,MEMILIKI,JIWA,1,6141,2022
819,15,JAMBI,1503,SAROLANGUN,150310,CERMIN NAN GEDANG,AKTA LAHIR,MEMILIKI,JIWA,1,4606,2022
820,15,JAMBI,1503,SAROLANGUN,150302,LIMUN,AKTA LAHIR,MEMILIKI,JIWA,1,5858,2022
821,15,JAMBI,1503,SAROLANGUN,150306,MANDIANGIN,AKTA LAHIR,MEMILIKI,JIWA,1,7692,2022
822,15,JAMBI,1503,SAROLANGUN,15030,MANDIANGIN TIMUR,AKTA LAHIR,MEMILIKI,JIWA,1,3737,2022
823,15,JAMBI,1503,SAROLANGUN,150304,PAUH,AKTA LAHIR,MEMILIKI,JIWA,1,7817,2022
824,15,JAMBI,1503,SAROLANGUN,150305,PELAWAN,AKTA LAHIR,MEMILIKI,JIWA,1,10928,2022
825,15,JAMBI,1503,SAROLANGUN,150303,SAROLANGUN,AKTA LAHIR,MEMILIKI,JIWA,1,18863,2022
826,15,JAMBI,1503,SAROLANGUN,150309,SINGKUT,AKTA LAHIR,MEMILIKI,JIWA,1,12324,2022
