id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1909;15;JAMBI;1504;150403;29/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1910;15;JAMBI;1504;150403;29/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1911;15;JAMBI;1504;150403;29/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1912;15;JAMBI;1504;150403;29/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1913;15;JAMBI;1504;150403;29/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
1914;15;JAMBI;1504;150403;29/08/2024;JEMBATAN;UNIT;0; Rp-   ;2024
1915;15;JAMBI;1504;150403;29/08/2024;JALAN;KM;0; Rp-   ;2024
1916;15;JAMBI;1504;150403;29/08/2024;SAWAH;HA;20; Rp-   ;2024
1917;15;JAMBI;1504;150403;29/08/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
1918;15;JAMBI;1504;150403;29/08/2024;KOLAM;HA;0; Rp-   ;2024
1919;15;JAMBI;1504;150403;29/08/2024;IRIGASI;HA;0; Rp-   ;2024
1920;15;JAMBI;1504;150403;30/08/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
1921;15;JAMBI;1504;150403;30/08/2024;HILANG;JIWA;0; Rp-   ;2024
1922;15;JAMBI;1504;150403;30/08/2024;LUKA;JIWA;0; Rp-   ;2024
1923;15;JAMBI;1504;150403;30/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1924;15;JAMBI;1504;150403;30/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1925;15;JAMBI;1504;150403;30/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1926;15;JAMBI;1504;150403;30/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1927;15;JAMBI;1504;150403;30/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1928;15;JAMBI;1504;150403;30/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
1929;15;JAMBI;1504;150403;30/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1930;15;JAMBI;1504;150403;30/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1931;15;JAMBI;1504;150403;30/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1932;15;JAMBI;1504;150403;30/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1933;15;JAMBI;1504;150403;30/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
1934;15;JAMBI;1504;150403;30/08/2024;JEMBATAN;UNIT;0; Rp-   ;2024
1935;15;JAMBI;1504;150403;30/08/2024;JALAN;KM;0; Rp-   ;2024
1936;15;JAMBI;1504;150403;30/08/2024;SAWAH;HA;1; Rp-   ;2024
1937;15;JAMBI;1504;150403;30/08/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
1938;15;JAMBI;1504;150403;30/08/2024;KOLAM;HA;0; Rp-   ;2024
1939;15;JAMBI;1504;150403;30/08/2024;IRIGASI;HA;0; Rp-   ;2024
1940;15;JAMBI;1504;150403;30/08/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
1941;15;JAMBI;1504;150403;30/08/2024;HILANG;JIWA;0; Rp-   ;2024
1942;15;JAMBI;1504;150403;30/08/2024;LUKA;JIWA;0; Rp-   ;2024
1943;15;JAMBI;1504;150403;30/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1944;15;JAMBI;1504;150403;30/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1945;15;JAMBI;1504;150403;30/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1946;15;JAMBI;1504;150403;30/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1947;15;JAMBI;1504;150403;30/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1948;15;JAMBI;1504;150403;30/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
1949;15;JAMBI;1504;150403;30/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1950;15;JAMBI;1504;150403;30/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1951;15;JAMBI;1504;150403;30/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1952;15;JAMBI;1504;150403;30/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1953;15;JAMBI;1504;150403;30/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
