no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_hotel;data;tenaga_kerja;jumlah_tenaga_kerja;fasilitas;jenis_kamar;jumlah;jumlah_tempat_tidur
162;15;JAMBI;1508;150803;1508031008;Hotel Ayudia Pala ;HOTEL NON BINTANG;L;0;0;Ac + Panas Dingin, Ac Ac Standar ;0;0
163;15;JAMBI;1508;150803;1508031008;Hotel Bungo Falm ;HOTEL NON BINTANG;L;0;0;Standar Ekonomi;0;0
164;15;JAMBI;1508;150812;1508121002;Assyifa Hotel ;HOTEL NON BINTANG;L;0;0;Kamar Ac Ekonomi ;0;0
165;15;JAMBI;1508;150813;1508131002;Hotel S. Marsya ;HOTEL NON BINTANG;L;0;0;Standar ;0;0
166;15;JAMBI;1508;150803;1508031007;Hotel Sepakat ;HOTEL NON BINTANG;L;0;0;Ekonomi Deluxe Standar ;0;0
167;15;JAMBI;1508;150813;1508131002;Permata Hotel ;HOTEL NON BINTANG;L;0;0;AC Ekonomi;0;0
168;15;JAMBI;1508;150811;1508111001;Sentosa Hotel;HOTEL NON BINTANG;L;0;0;Family Room A Room B, Vip,  Standar Ekonomi ;0;0
169;15;JAMBI;1508;150803;1508031023;Hotel Batang Bungo ;HOTEL NON BINTANG;L;0;0;Deluxe, Superior, Standar;0;0
170;15;JAMBI;1508;150813;1508131002;Fayadh Hotel ;HOTEL NON BINTANG;L;0;0;Kelas I Kelas Ii Kelas Iii;0;0
171;15;JAMBI;1508;150813;1508131001;Mitra Hotel ;HOTEL NON BINTANG;L;0;0;Deluxe Superior Standar ;0;0
172;15;JAMBI;1571;157104;1571041001;Hotel Makmjur ;HOTEL NON BINTANG;L;0;0;Kamar Ac Kamar Fan Kamar Fan Family Bed ;0;0
173;15;JAMBI;1571;157110;1571101001;Hotel Mega Indah ;HOTEL NON BINTANG;L;0;0;Single Double;0;0
174;15;JAMBI;1571;157104;1571041001;Hotel Marina ;HOTEL NON BINTANG;L;3;3,7,10,13 ;Standar, Deluxe Superior ;15;40
175;15;JAMBI;1571;157102;1571021004;Hotel Mayang Sari 2 ;HOTEL NON BINTANG;L;5;3,7,10,13 ;Standar, Deluxe Superior ;10;40
