NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
27;15;JAMBI;1501;150121;AKTA LAHIR;MEMILIKI;JIWA;1;2283;2022
171;15;JAMBI;1501;150121;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;173;2022
315;15;JAMBI;1501;150121;AKTA LAHIR;UMUR 0-18;JIWA;1;2456;2022
448;15;JAMBI;1501;150121;AKTA LAHIR;MEMILIKI;JIWA;2;2542;2022
466;15;JAMBI;1501;150121;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;34;2022
43;15;JAMBI;1501;150122;AKTA LAHIR;MEMILIKI;JIWA;1;1953;2022
187;15;JAMBI;1501;150122;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;253;2022
331;15;JAMBI;1501;150122;AKTA LAHIR;UMUR 0-18;JIWA;1;2206;2022
449;15;JAMBI;1501;150122;AKTA LAHIR;MEMILIKI;JIWA;2;2100;2022
467;15;JAMBI;1501;150122;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;37;2022
32;15;JAMBI;1501;150123;AKTA LAHIR;MEMILIKI;JIWA;1;2626;2022
176;15;JAMBI;1501;150123;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;218;2022
320;15;JAMBI;1501;150123;AKTA LAHIR;UMUR 0-18;JIWA;1;2844;2022
450;15;JAMBI;1501;150123;AKTA LAHIR;MEMILIKI;JIWA;2;2706;2022
468;15;JAMBI;1501;150123;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;23;2022
66;15;JAMBI;1502;150201;AKTA LAHIR;MEMILIKI;JIWA;1;3287;2022
210;15;JAMBI;1502;150201;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;187;2022
354;15;JAMBI;1502;150201;AKTA LAHIR;UMUR 0-18;JIWA;1;3474;2022
673;15;JAMBI;1502;150201;AKTA LAHIR;MEMILIKI;JIWA;2;3536;2022
697;15;JAMBI;1502;150201;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;7;2022
63;15;JAMBI;1502;150202;AKTA LAHIR;MEMILIKI;JIWA;1;15160;2022
207;15;JAMBI;1502;150202;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;1186;2022
351;15;JAMBI;1502;150202;AKTA LAHIR;UMUR 0-18;JIWA;1;16346;2022
674;15;JAMBI;1502;150202;AKTA LAHIR;MEMILIKI;JIWA;2;16005;2022
698;15;JAMBI;1502;150202;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;31;2022
70;15;JAMBI;1502;150203;AKTA LAHIR;MEMILIKI;JIWA;1;3116;2022
214;15;JAMBI;1502;150203;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;178;2022
358;15;JAMBI;1502;150203;AKTA LAHIR;UMUR 0-18;JIWA;1;3294;2022
675;15;JAMBI;1502;150203;AKTA LAHIR;MEMILIKI;JIWA;2;3266;2022
699;15;JAMBI;1502;150203;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;5;2022
78;15;JAMBI;1502;150204;AKTA LAHIR;MEMILIKI;JIWA;1;3412;2022
222;15;JAMBI;1502;150204;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;264;2022
366;15;JAMBI;1502;150204;AKTA LAHIR;UMUR 0-18;JIWA;1;3676;2022
676;15;JAMBI;1502;150204;AKTA LAHIR;MEMILIKI;JIWA;2;3669;2022
700;15;JAMBI;1502;150204;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;7;2022
79;15;JAMBI;1502;150205;AKTA LAHIR;MEMILIKI;JIWA;1;9641;2022
223;15;JAMBI;1502;150205;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;755;2022
367;15;JAMBI;1502;150205;AKTA LAHIR;UMUR 0-18;JIWA;1;10396;2022
677;15;JAMBI;1502;150205;AKTA LAHIR;MEMILIKI;JIWA;2;10394;2022
701;15;JAMBI;1502;150205;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;28;2022
72;15;JAMBI;1502;150206;AKTA LAHIR;MEMILIKI;JIWA;1;10026;2022
216;15;JAMBI;1502;150206;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;892;2022
360;15;JAMBI;1502;150206;AKTA LAHIR;UMUR 0-18;JIWA;1;10918;2022
678;15;JAMBI;1502;150206;AKTA LAHIR;MEMILIKI;JIWA;2;10685;2022
702;15;JAMBI;1502;150206;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;102;2022
85;15;JAMBI;1502;150207;AKTA LAHIR;MEMILIKI;JIWA;1;2361;2022
